course_credit_hour,course_date_end,course_date_start,course_dept,course_description,course_explorer_link,course_gened,course_hour_end,course_hour_start,course_location,course_name,course_num,course_room_num,course_semester,course_term,course_year,crn,prof_fname,prof_lname,section_info,section_num,section_type
3,2017-01-13Z,2016-12-19Z,MUS,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MUS/130/10033.xml,"CS, HUM",,ARRANGED,,Introd to the Art of Music,130,,winter,1,2017,10033,J,Jorge,Prerequisite: For non-music majors only.,C  ,Online
3,2017-01-13Z,2016-12-19Z,MUS,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MUS/130/10032.xml,"CS, HUM",,ARRANGED,,Introd to the Art of Music,130,,winter,1,2017,10032,J,Jorge,Prerequisite: For non-music majors only.,B  ,Online
3,2017-01-13Z,2016-12-19Z,MUS,"Provides non-music majors with basic listening skills, the ability to discuss music intelligently, and an acquaintance with many types of music. Prerequisite: For non-music majors only.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/MUS/130/10031.xml,"CS, HUM",,ARRANGED,,Introd to the Art of Music,130,,winter,1,2017,10031,J,Jorge,Prerequisite: For non-music majors only.,A  ,Online
3,2017-01-13Z,2016-12-19Z,ESE,Same as ATMS 120. See ATMS 120.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ESE/120/10038.xml,"NAT, QR",,ARRANGED,,Severe and Hazardous Weather,120,,winter,1,2017,10038,E,Snodgrass,Same as ATMS 120. See ATMS 120.,ONL,Online
3,2017-01-13Z,2016-12-19Z,ESE,Same as GEOL 118 and GLBL 118. See GEOL 118.,https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ESE/118/10008.xml,NAT,,ARRANGED,,Natural Disasters,118,,winter,1,2017,10008,S,Altaner,Same as GEOL 118 and GLBL 118. See GEOL 118.,A  ,Online
3,2017-01-13Z,2016-12-19Z,GEOL,"Introduces non-science majors to physical aspects (earthquakes, volcanoes, floods, tsunamis, mountains, plate tectonics) and historical aspects (formation of earth and life, dinosaurs, ice age, evolution of climate) in earth science. Presents information on earth resources, natural hazards, and development of natural landscapes. Focuses on humanistic issues; provides context for understanding environmental change. Optional lab demonstrations and field trips with co-registration in GEOL 110. Credit is not given for both GEOL 100 and GEOL 101, GEOL 103 or GEOL 107.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/GEOL/100/10006.xml,NAT,,ARRANGED,,Planet Earth,100,,winter,1,2017,10006,J,Tomkin,"Credit is not given for both GEOL 100 and GEOL 101, GEOL 103 or GEOL 107.",A  ,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/203/10021.xml,,,ARRANGED,,Economic Statistics II,203,,winter,1,2017,10021,D,Arga,"Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",ONL,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/203/10021.xml,,,ARRANGED,,Economic Statistics II,203,,winter,1,2017,10021,J,Petry,"Prerequisite: ECON 202; one of MATH 220, MATH 221, MATH 234.",ONL,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/103/10020.xml,SBS,,ARRANGED,,Macroeconomic Principles,103,,winter,1,2017,10020,J,Petry,,ONL,Online
3,2017-01-13Z,2016-12-19Z,ECON,"Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",https://courses.illinois.edu/cisapp/explorer/schedule/2017/winter/ECON/103/10020.xml,SBS,,ARRANGED,,Macroeconomic Principles,103,,winter,1,2017,10020,R,Schneider,,ONL,Online
